视频标题,【高清修复】东方幻想万华镜全集
视频BV号,BV1VuZ5YjEin
弹幕总数,4701

弹幕ID,出现时间(毫秒),模式,字体大小,颜色,用户MID哈希,内容,发送时间,权重,动作,弹幕池,弹幕ID字符串,属性,动画
1811885987568244736,143571,1,25,#ffffff,969341b,人呢？,2025-03-27 22:14:01,1,,0,1811885987568244736,无,
1811887362343708416,2647,5,25,#ffffff,b5a82400,春雪异变之章（选自《东方妖妖梦》）,2025-03-27 22:16:45,10,,0,1811887362343708416,无,
1811887830713176576,46295,5,25,#ffffff,b5a82400,原曲：众神眷恋的幻想乡,2025-03-27 22:17:41,10,,0,1811887830713176576,高赞,
1811889046482373632,179607,1,25,#ffffff,b5a82400,莉莉白呢？救一下救一下啊,2025-03-27 22:20:05,2,,0,1811889046482373632,无,
1811889506916526592,0,5,25,#e70012,50e6edd9,空屏是我的了,2025-03-27 22:21:00,2,,0,1811889506916526592,无,
1811889849029119232,221741,5,25,#84c0cb,b5a82400,遗忘的冬季之物——蕾蒂•霍瓦特罗克,2025-03-27 22:21:41,10,,0,1811889849029119232,高赞,
1811890475263931648,242221,5,25,#f0ab2a,b5a82400,凶兆的黑猫——橙,2025-03-27 22:22:56,10,,0,1811890475263931648,高赞,
1811890745419126272,256558,5,25,#fef102,b5a82400,七色的人偶使——爱丽丝•玛格特罗伊德,2025-03-27 22:23:28,10,,0,1811890745419126272,高赞,
1811891108192626432,272706,5,25,#84c0cb,b5a82400,宣告春天的妖精——莉莉白,2025-03-27 22:24:11,10,,0,1811891108192626432,无,
1811891338115950848,284973,5,25,#84c0cb,b5a82400,骚灵三姐妹——露娜萨/梅露兰/莉莉卡•普莉兹姆利巴,2025-03-27 22:24:39,10,,0,1811891338115950848,无,
1811891895127981056,340845,5,25,#84c0cb,b5a82400,半分虚幻的庭师——魂魄妖梦,2025-03-27 22:25:45,10,,0,1811891895127981056,高赞,
1811894485555203584,142103,5,25,#00a0ea,b5a82400,湖上的冰精——琪露诺,2025-03-27 22:30:54,10,,0,1811894485555203584,无,
1811894595664213504,144621,5,25,#fef102,b5a82400,普通的魔法使——雾雨魔理沙,2025-03-27 22:31:07,10,,0,1811894595664213504,无,
1811897620529094656,4755,1,25,#ffffff,a708eb30,首页通知书（为什么啊？）,2025-03-27 22:37:08,1,,0,1811897620529094656,无,
1811901254717856768,125889,5,25,#ffffff,fdcbbe9a,紫妹又摔了,2025-03-27 22:44:21,1,,0,1811901254717856768,无,
1811902279856131584,188191,1,25,#00a0ea,fdcbbe9a,可怜的baka,2025-03-27 22:46:23,2,,0,1811902279856131584,无,
1811903770016831232,350153,1,25,#ffffff,fdcbbe9a,羡慕麻薯,2025-03-27 22:49:21,7,,0,1811903770016831232,无,
1811904624756829696,25213,5,25,#ffffff,50e6edd9,魂魄妖梦,2025-03-27 22:51:03,10,,0,1811904624756829696,无,
1811904763873574144,25213,5,25,#e2027f,50e6edd9,西行寺幽幽子,2025-03-27 22:51:19,10,,0,1811904763873574144,高赞,
1811905169353751040,52147,5,25,#e70012,50e6edd9,博丽灵梦,2025-03-27 22:52:07,10,,0,1811905169353751040,无,
